epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,271.38,0.50088,1.72329,0.1856,0.8421,0.7731,0.8155,0.58303,0.36202,0.4057,0.12829,0.000415759,0.000415759,0.000415759
2,540.373,0.26655,0.33663,0.04207,0.86566,0.83793,0.84088,0.60474,0.3529,0.43229,0.13262,0.000799462,0.000799462,0.000799462
3,813.399,0.23762,0.31959,0.03675,0.8969,0.81883,0.86868,0.64202,0.30791,0.38997,0.10836,0.00115016,0.00115016,0.00115016
4,1084.57,0.22896,0.30203,0.03693,0.78613,0.70603,0.75083,0.50842,0.35602,0.53039,0.15114,0.0011015,0.0011015,0.0011015
5,1348.76,0.22881,0.30847,0.03605,0.89901,0.86085,0.87417,0.63549,0.30906,0.38352,0.12739,0.001052,0.001052,0.001052
6,1617.55,0.20676,0.28408,0.03233,0.91085,0.84486,0.87168,0.64813,0.29609,0.31627,0.11617,0.0010025,0.0010025,0.0010025
7,1890.83,0.20629,0.27485,0.03119,0.92433,0.84469,0.88346,0.65958,0.28755,0.34197,0.10982,0.000953,0.000953,0.000953
8,2166.82,0.18965,0.2667,0.03074,0.92973,0.83434,0.88174,0.64152,0.30042,0.33365,0.12639,0.0009035,0.0009035,0.0009035
9,2434.12,0.17959,0.26268,0.02767,0.9232,0.82492,0.86291,0.62706,0.28669,0.34823,0.10922,0.000854,0.000854,0.000854
10,2703.16,0.17645,0.25092,0.02683,0.90899,0.84471,0.85005,0.65312,0.27089,0.32174,0.09686,0.0008045,0.0008045,0.0008045
11,2967.81,0.16983,0.2487,0.02603,0.87126,0.83682,0.85316,0.62714,0.29657,0.35082,0.11595,0.000755,0.000755,0.000755
12,3232.21,0.15981,0.23728,0.02526,0.88696,0.82604,0.84428,0.61602,0.29932,0.34842,0.11437,0.0007055,0.0007055,0.0007055
