epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.8969,1.06599,4.13866,0.00647,0.57963,0.37609,0.44955,0.32837,0.98537,4.41009,0.00652,0.000413043,0.000413043,0.000413043
2,94.9119,1.04955,2.59772,0.00652,0.51936,0.63273,0.57739,0.41656,0.92998,3.03759,0.00658,0.000796854,0.000796854,0.000796854
3,128.629,1.04161,1.93837,0.00665,0.77662,0.57885,0.67879,0.52299,0.97419,2.09147,0.00648,0.00114766,0.00114766,0.00114766
4,162.003,1.0442,1.47271,0.00651,0.61521,0.68397,0.6732,0.51893,1.00233,1.45933,0.00682,0.0011015,0.0011015,0.0011015
5,194.894,0.98468,1.17684,0.00612,0.75145,0.65583,0.74875,0.56926,0.91147,1.13999,0.00598,0.001052,0.001052,0.001052
6,227.528,0.97125,0.99352,0.00602,0.7427,0.69292,0.74968,0.58505,0.87594,0.91449,0.00644,0.0010025,0.0010025,0.0010025
7,260.171,0.95742,0.86954,0.00564,0.78746,0.7642,0.81294,0.63908,0.82744,0.77679,0.00523,0.000953,0.000953,0.000953
8,293.261,0.91596,0.79245,0.00566,0.77518,0.76087,0.82318,0.64791,0.83517,0.69321,0.00548,0.0009035,0.0009035,0.0009035
9,326.458,0.89152,0.70986,0.00534,0.81183,0.76161,0.83068,0.63551,0.85101,0.69002,0.00551,0.000854,0.000854,0.000854
10,359.055,0.86806,0.6962,0.00531,0.88745,0.73214,0.84437,0.65384,0.7864,0.69707,0.0053,0.0008045,0.0008045,0.0008045
11,392.839,0.87239,0.66924,0.00522,0.79863,0.80086,0.82261,0.62408,0.87991,0.69351,0.0056,0.000755,0.000755,0.000755
12,426.262,0.83976,0.59151,0.00491,0.83673,0.74972,0.83436,0.65383,0.76225,0.59647,0.00496,0.0007055,0.0007055,0.0007055
13,459.519,0.84382,0.60831,0.00498,0.80121,0.78471,0.82383,0.65623,0.79483,0.58168,0.00517,0.000656,0.000656,0.000656
14,492.546,0.80146,0.56322,0.00458,0.9193,0.721,0.83799,0.67616,0.76631,0.57279,0.00468,0.0006065,0.0006065,0.0006065
15,525.497,0.79405,0.54346,0.00457,0.82824,0.74669,0.82639,0.64511,0.8355,0.57363,0.0055,0.000557,0.000557,0.000557
16,558.573,0.7064,0.43574,0.00502,0.88323,0.80779,0.86044,0.67859,0.74825,0.52956,0.00466,0.0005075,0.0005075,0.0005075
17,590.33,0.70195,0.41866,0.00468,0.91129,0.80571,0.87929,0.70002,0.7468,0.47417,0.00446,0.000458,0.000458,0.000458
18,622.423,0.68294,0.40401,0.00444,0.91658,0.79268,0.87528,0.70084,0.73569,0.50271,0.0044,0.0004085,0.0004085,0.0004085
19,654.952,0.66006,0.37044,0.00435,0.8204,0.85106,0.87169,0.71331,0.70686,0.44888,0.00419,0.000359,0.000359,0.000359
20,686.64,0.63563,0.36284,0.00404,0.83719,0.80419,0.86131,0.69162,0.72156,0.48981,0.00425,0.0003095,0.0003095,0.0003095
21,718.796,0.63559,0.35424,0.00408,0.83639,0.81987,0.86745,0.70492,0.69326,0.47583,0.00389,0.00026,0.00026,0.00026
22,750.576,0.60247,0.33345,0.00385,0.83895,0.82907,0.86382,0.70428,0.71152,0.47395,0.00407,0.0002105,0.0002105,0.0002105
23,782.324,0.60475,0.32353,0.00372,0.86106,0.82462,0.86159,0.70193,0.70805,0.47159,0.00397,0.000161,0.000161,0.000161
24,813.793,0.60132,0.33105,0.00365,0.83251,0.82212,0.86072,0.70383,0.69574,0.48275,0.00392,0.0001115,0.0001115,0.0001115
