epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7342,1.013,1.24625,1.06407,0.82342,0.57214,0.67933,0.47273,0.95374,1.06281,1.03126,0.000330435,0.000330435,0.067287
2,57.4973,0.90451,0.77634,1.02822,0.71083,0.67693,0.68882,0.49022,0.91454,0.94296,1.03378,0.000637483,0.000637483,0.0342607
3,88.2657,0.8712,0.77604,1.03187,0.83166,0.63264,0.71979,0.52077,0.82694,0.7955,1.02832,0.000918131,0.000918131,0.00120799
4,119.292,0.86122,0.70018,1.03252,0.85755,0.73523,0.81521,0.57563,0.82061,0.75261,0.97226,0.0008812,0.0008812,0.0008812
5,149.917,0.80004,0.62437,0.99051,0.83853,0.77167,0.82162,0.60653,0.75943,0.6074,0.94615,0.0008416,0.0008416,0.0008416
6,180.954,0.7849,0.60309,0.98458,0.8505,0.76461,0.80149,0.6148,0.72163,0.56649,0.93172,0.000802,0.000802,0.000802
7,211.498,0.76154,0.56035,0.97836,0.88685,0.7897,0.83736,0.60872,0.75315,0.53991,0.96332,0.0007624,0.0007624,0.0007624
8,241.062,0.73854,0.54717,0.97067,0.85944,0.87139,0.87814,0.64568,0.74083,0.49319,0.943,0.0007228,0.0007228,0.0007228
9,272.414,0.71279,0.5111,0.95657,0.89073,0.80897,0.85916,0.62443,0.71732,0.50091,0.91761,0.0006832,0.0006832,0.0006832
10,302.379,0.68499,0.49824,0.95057,0.89878,0.80389,0.8552,0.65763,0.67023,0.46533,0.91153,0.0006436,0.0006436,0.0006436
11,334.125,0.68998,0.48227,0.95075,0.89907,0.80167,0.85274,0.65356,0.67579,0.46256,0.91727,0.000604,0.000604,0.000604
12,364.198,0.65195,0.45011,0.9261,0.93029,0.8299,0.87823,0.66968,0.66035,0.43049,0.91112,0.0005644,0.0005644,0.0005644
13,395.857,0.64754,0.45634,0.92692,0.94479,0.84616,0.89681,0.69266,0.64028,0.42605,0.88869,0.0005248,0.0005248,0.0005248
14,426.92,0.624,0.41871,0.91539,0.90099,0.86124,0.89057,0.67567,0.65719,0.41186,0.88831,0.0004852,0.0004852,0.0004852
15,456.066,0.62358,0.41835,0.91369,0.93499,0.83656,0.87853,0.68284,0.63788,0.40526,0.88468,0.0004456,0.0004456,0.0004456
16,484.841,0.6206,0.41277,0.91181,0.91984,0.86181,0.88871,0.70143,0.61036,0.39543,0.8758,0.000406,0.000406,0.000406
17,515.544,0.5911,0.38217,0.90012,0.90724,0.87673,0.90122,0.71172,0.6034,0.37533,0.87806,0.0003664,0.0003664,0.0003664
18,546.771,0.58362,0.38133,0.89944,0.89854,0.87532,0.87457,0.70598,0.61754,0.38351,0.88995,0.0003268,0.0003268,0.0003268
19,573.819,0.57934,0.37291,0.89903,0.91148,0.86881,0.86819,0.68507,0.60764,0.37852,0.87331,0.0002872,0.0002872,0.0002872
20,601.36,0.56742,0.36049,0.89526,0.93408,0.85767,0.88593,0.69714,0.58737,0.35043,0.86051,0.0002476,0.0002476,0.0002476
21,631.199,0.5006,0.30247,0.84497,0.91944,0.87884,0.88514,0.70445,0.57586,0.35192,0.86526,0.000208,0.000208,0.000208
22,659.522,0.49551,0.29575,0.84374,0.93316,0.88104,0.89369,0.72004,0.56806,0.34442,0.85452,0.0001684,0.0001684,0.0001684
23,689.781,0.48405,0.28595,0.8415,0.93734,0.8512,0.8821,0.70793,0.5794,0.34451,0.85805,0.0001288,0.0001288,0.0001288
24,718.069,0.46822,0.27603,0.83603,0.9302,0.85968,0.89045,0.69945,0.57811,0.33473,0.86098,8.92e-05,8.92e-05,8.92e-05
25,745.63,0.46244,0.26756,0.83318,0.93313,0.85225,0.8882,0.70988,0.57874,0.32981,0.86204,4.96e-05,4.96e-05,4.96e-05
